1	8 
2	3 8 14 17 
3	5 
4	9 
5	13 
6	5 
7	6 
8	13 
9	1 3 4 7 
10	6 8 12 16 
11	4 6 7 8 
12	3 
13	13 
14	11 
15	1 2 7 9 
16	3 
17	5 10 15 16 
18	9 
19	15 
20	5 8 10 12 
21	2 8 11 14 
22	7 11 14 15 
23	1 9 10 15 
24	1 5 11 16 
25	11 
26	11 
27	1 10 14 15 
28	5 13 14 17 
29	3 8 12 14 
30	6 9 12 16 
31	1 8 9 10 
32	4 7 10 15 
33	17 
34	2 
35	6 10 11 16 
36	5 6 8 12 
37	9 12 14 16 
38	3 13 16 17 
39	1 9 14 15 
40	1 2 12 17 
41	11 
42	1 11 15 17 
43	16 
44	3 
45	1 7 11 17 
46	13 
47	2 3 4 14 
48	5 
49	5 14 15 16 
50	6 
51	17 
52	11 
53	7 
54	3 
55	1 2 8 16 
56	3 
57	3 
58	5 7 9 10 
59	9 10 14 16 
60	3 4 15 16 
61	7 
62	1 3 7 17 
63	13 
64	10 
65	7 
66	15 
67	2 
68	1 2 4 12 
69	4 
70	3 5 14 15 
71	12 
72	6 10 13 16 
73	1 
74	2 3 10 16 
75	4 5 13 15 
76	3 8 11 13 
77	4 8 13 15 
78	7 9 10 15 
79	1 2 6 16 
80	1 4 7 9 
81	13 
82	3 7 11 14 
83	10 
84	1 
85	15 
86	5 
87	5 11 13 14 
88	10 
89	4 14 15 16 
90	2 
91	9 
92	5 14 15 17 
93	7 10 11 14 
94	5 
95	6 
96	10 11 12 14 
97	5 10 11 12 
98	12 
99	8 
100	5 6 14 15 
